case,N,p,kappa,exact,auc_only,abs_error
mid_tail_same_auc,1,0.2,0.5,0.19999999999999996,0.2,5.551115123125783e-17
mid_tail_same_auc,2,0.2,0.5,0.19999999999999996,0.20000000000000004,8.326672684688674e-17
mid_tail_same_auc,4,0.2,0.5,0.10399999999999998,0.10000000000000007,0.003999999999999906
mid_tail_same_auc,8,0.2,0.5,0.016140799999999993,0.01250000000000002,0.0036407999999999736
mid_tail_same_auc,16,0.2,0.5,0.00028168149401599986,9.765625000000033e-05,0.00018402524401599953
mid_tail_same_auc,32,0.2,0.5,7.958642663202318e-08,2.980232238769552e-09,7.660619439325363e-08
mid_tail_same_auc,64,0.2,0.5,6.3340286662632846e-15,1.3877787807814652e-18,6.332640887482503e-15
split_tail_same_auc,1,0.2,0.5,0.19999999999999998,0.2,2.7755575615628914e-17
split_tail_same_auc,2,0.2,0.5,0.19999999999999996,0.20000000000000004,8.326672684688674e-17
split_tail_same_auc,4,0.2,0.5,0.344,0.10000000000000007,0.24399999999999988
split_tail_same_auc,8,0.2,0.5,0.5695328,0.01250000000000002,0.5570327999999999
split_tail_same_auc,16,0.2,0.5,0.814697981114816,9.765625000000033e-05,0.8146003248648159
split_tail_same_auc,32,0.2,0.5,0.9656631617970749,2.980232238769552e-09,0.9656631588168426
split_tail_same_auc,64,0.2,0.5,0.9988209815422261,1.3877787807814652e-18,0.9988209815422261
