mismatch,N,success,real_utility,imagined_utility,gap_imagined_minus_real,normalized_real_utility,normalized_imagined_utility,normalized_gap_imagined_minus_real,p,kappa,tie_rate
mild,1,0.06499999999999997,-3.9735964757136673,-3.9205700049139356,0.05302647079973159,0.6292935925864851,0.6965300415106964,0.06723644892421127,0.065,0.9516413295250041,0.0
mild,2,0.11840277777777775,-1.4044315740378632,-1.5874375943698613,-0.1830060203319981,0.759114019626002,0.8448870435720507,0.08577302394604869,0.065,0.9516413295250041,0.0
mild,4,0.2016941852334104,0.016947425993158363,-0.35292620805499625,-0.3698736340481546,0.8318754234347386,0.9238457656613412,0.09197034222660262,0.065,0.9516413295250041,0.0
mild,8,0.3084218034163262,0.8058726247843265,0.19507304592751334,-0.6107995788568131,0.8729946200601754,0.9591069863557373,0.08611236629556192,0.065,0.9516413295250041,0.0
mild,16,0.40265307758901775,1.2796578204810296,0.4692073706064879,-0.8104504498745417,0.8981054769959573,0.9765790181308021,0.07847354113484478,0.065,0.9516413295250041,0.0
mild,32,0.43739726030326737,1.4406898777708042,0.6412123271440632,-0.7994775506267411,0.907025303497932,0.9871523476605213,0.08012704416258937,0.065,0.9516413295250041,0.0
mild,64,0.41001248349384595,1.349974064888626,0.764934467493125,-0.5850395973955009,0.9027904547692934,0.9944419269260701,0.09165147215677674,0.065,0.9516413295250041,0.0
none,1,0.04916666666666668,-12.628992213373937,-4.447827836307438,8.1811643770665,0.6997721424097033,0.6918320161814973,-0.00794012622820604,0.04916666666666667,0.9015091269178669,0.0
none,2,0.08623263888888894,-5.115621388308561,-1.8704201784917616,3.2452012098168,0.8423523310135418,0.8456953925261288,0.003343061512587049,0.04916666666666667,0.9015091269178669,0.0
none,4,0.13493090971016594,-1.4181190412094429,-0.4623705723510259,0.9557484688584169,0.9124607094311353,0.9296281589972679,0.017167449566132535,0.04916666666666667,0.9015091269178669,0.0
none,8,0.17577236178930103,-0.08962136393918226,0.14856578927681016,0.23818715321599243,0.937678700745659,0.9660383607507592,0.02835966000510034,0.04916666666666667,0.9015091269178669,0.0
none,16,0.18195331323623148,0.26559028757908104,0.4209325793801205,0.15534229180103945,0.9444169049271818,0.9821400164137348,0.037723111486553114,0.04916666666666667,0.9015091269178669,0.0
none,32,0.1615080480362728,0.256108732214863,0.5681223371568316,0.3120136049419686,0.9442949507873364,0.9906797058409932,0.04638475505365679,0.04916666666666667,0.9015091269178669,0.0
none,64,0.15189450546084515,0.23653643927125156,0.6630257268288853,0.4264892875576337,0.9440631242411576,0.9960815472133154,0.052018422972157925,0.04916666666666667,0.9015091269178669,0.0
severe,1,0.335,0.7501811503505047,-4.057983903077914,-4.808165053428418,0.5035467940267078,0.7081339327948875,0.2045871387681798,0.335,0.3578762656234499,0.0
severe,2,0.26947916666666666,0.45370524974194465,-1.6064336123886667,-2.0601388621306116,0.4566239720001422,0.8536530757848521,0.3970291037847098,0.335,0.3578762656234499,0.0
severe,4,0.17525395146122688,0.06962589364767809,-0.3288356101869314,-0.3984615038346096,0.38939423935122236,0.9295004146799737,0.5401061753287514,0.335,0.3578762656234499,0.0
severe,8,0.09248647997941042,-0.24860728145324415,0.22461322535337247,0.4732205068066166,0.33104200506505516,0.962361103687506,0.6313190986224508,0.335,0.3578762656234499,0.0
severe,16,0.04340817197557273,-0.44461225035717755,0.49148373224959513,0.9360959826067726,0.29482118101216465,0.9781834673594004,0.6833622863472358,0.335,0.3578762656234499,0.0
severe,32,0.02707751732044267,-0.5284212565420401,0.6522125295585048,1.180633786100545,0.27970629356419374,0.9876920460915686,0.707985752527375,0.335,0.3578762656234499,0.0
severe,64,0.030360285814629743,-0.5511528449502329,0.7667821859295377,1.3179350308797706,0.2762857721619208,0.9944573567533154,0.7181715845913945,0.335,0.3578762656234499,0.0
stuck_slip,1,0.22583333333333333,0.09128429612084793,-4.370361851323761,-4.4616461474446085,0.6480358446331965,0.6980008914337854,0.049965046800588914,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,2,0.12335069444444442,-0.37866788826696657,-1.8102845610839415,-1.431616672816975,0.5297108544209614,0.8506781575566313,0.32096730313566985,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,4,0.04454237949701003,-0.7521222004323511,-0.4140120777788702,0.3381101226534809,0.43728450287507775,0.9335303255689142,0.4962458226938365,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,8,0.009014362774102587,-0.9362516080464444,0.1845573836753253,1.1208089917217696,0.3913887896772046,0.9689403602046976,0.5775515705274932,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,16,0.0007462709573846926,-1.0006363267026235,0.4371081810176936,1.437744507720317,0.3749638476715884,0.9839271781957336,0.6089633305241452,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,32,9.840779574808503e-06,-1.0262242073537502,0.5671637450830564,1.5933879524368069,0.3691885303143092,0.9916037062505798,0.6224151759362705,0.22583333333333336,0.023177619299075955,0.0
stuck_slip,64,2.331369987513983e-09,-1.0450868696247022,0.6505159025810964,1.6956027722057987,0.3640290165430944,0.9964386023836178,0.6324095858405234,0.22583333333333336,0.023177619299075955,0.0
