scorer,N,success,utility,final_distance,compute_rollouts
ideal_action,1,0.5,2.04649945138127,0.16607004926009014,4.5
ideal_action,2,1.0,3.4091939680016172,0.11759172727844706,8.0
ideal_action,4,1.0,3.4243047888326874,0.10978374994033438,17.0
ideal_action,8,1.0,3.3070056240789483,0.18646079133212803,36.0
ideal_action,16,1.0,3.386872020926761,0.13826601836341543,76.0
ideal_action,32,1.0,3.3418164840630897,0.1657477321949501,152.0
ideal_action,64,1.0,3.3575613173958407,0.15628023220610204,304.0
oracle_first_action,1,0.5,2.04649945138127,0.16607004926009014,4.5
oracle_first_action,2,1.0,3.3583683097100385,0.14032253533446626,6.0
oracle_first_action,4,1.0,3.4459641603790425,0.08287229243809682,11.0
oracle_first_action,8,1.0,3.4808766518998517,0.06147463525174099,22.0
oracle_first_action,16,1.0,3.4612219316162824,0.07004922676438795,40.0
oracle_first_action,32,1.0,3.3502134428341215,0.13462980587540516,64.0
oracle_first_action,64,1.0,3.392148018430161,0.10780922454023988,128.0
random_score,1,0.5,2.04649945138127,0.16607004926009014,4.5
random_score,2,1.0,3.374880655420513,0.1203518879987654,8.0
random_score,4,1.0,3.3751603618482364,0.12917345502781885,13.0
random_score,8,1.0,3.3329449274236382,0.14572249643962293,30.0
random_score,16,0.75,2.3061610085902693,0.39442888159940526,64.0
random_score,32,0.5,1.4225647715042118,0.5470857179831451,136.0
random_score,64,0.75,2.5414381345352326,0.2518323501844785,256.0
